Sr. no. ,Song Title ,Movie,Year of release,Music director,Song type,Singer type,Singers
280,Holi Ke din,Sholay,1975,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
281,Hua Kya Agar Tu Zara Bevafa,Dream Girl,1977,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Hema Malini
282,Hum Aur Tum the Sathi,Hamara Tumhara,1979,R D Burman,Solo,Male,Kishor Kumar
283,Hum Aur Tum Tum Aur Hum,Daag,1973,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
284,Hum Banjaron Ki Baat Mat Puchho Ji,Dharam Veer,1977,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
285,Hum Bechare Pyar Ke Mare,Rangoli,1961,Shankar Jaykishan,Solo,Male,Kishor Kumar
286,Hum Bewafa hargij Na The,Shalimar,1978,R D Burman,Solo,Male,Kishor Kumar
287,Hum Bhi yahan Tum Bhi Yahan,Taaqat,1982,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Anuradha Paudwal& Hemlata
288,Hum Bolega to Bologe ke bolata Hai,kasauti,1974,Kalyanji Aanandji,Solo,Male,Kishor Kumar
289,Hum Chup hai,Faasale,1985,Shiv Hari,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
290,Hum Dono Do Premi,Ajanabee,1974,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
291,Hum Dono Mein,Khatron ke Khiladi,1988,laxmikant Pyarelal,Duet,Male&Female,kishor Kumar& Alka Yagnik
292,Hum hai  Rahi Pyar Ke,Nau Do Gyarah,1957,S D Burman,Solo,Male,Kishor Kumar
293,Hum jab Honge Saath Sal ke,Kal Aaj Aur Kal,1971,Shankar Jaykishan,Duet,Male&Female,Kishor Kumar& Asha Bhosale 
294,Hum Kitane Nadan The Yaron,Sitamgar,1985,R D Burman,Solo,Male,Kishor Kumar
295,Hum Ko Mohabbat Ho Gyee hai,Hath Ki Safai,1974,Kalyanji Aanandji,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
296,Hum Ko Nikaloge Ghar se,Chaila Babu,1977,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Asha Bhosale 
297,Hum Kya Hai,Anand Aur Anand ,1984,R D Burman,Duet,Male&Female,kishor Kumar& Pinaz Masani
298,Hum Matawale Naujawan,Shararat,1959,Shankar Jaykishan,Solo,Male,Kishor Kumar
299,Hum Nahin Jhoomte hai,jani Dost,1983,Bappi Lahiri,Duet,Male&Female,Kishor Kumar& Asha Bhosale 
300,Hum PremiPrem karana jane,Paravarish,1977,laxmikant Pyarelal,Duet,male,Kishor Kumar& Mahammad Rafi& Shailendra Singh
