Sr. no. ,Song Title ,Movie,Year of release,Music director,Song type,Singer type,Singers
137,Dekho Mera Janaja Nikla,Mar Mitenge,1988,Laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar& Anuradha Paudwal
138,Dekho O Diwano,Hare Ram Hare Krishna,1971,R D Barman,Solo,Male ,Kishor Kumar 
139,Dil Se Dil Milne Ka,Chartraheen,1974,R D Barman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
140,Dekho Veer Jawano,Aakraman,1975,Laxmikant Pyarelal,Solo,Male ,Kishor Kumar 
141,Dekho Yeh Mere Bandhe Haath,Bandhe Haath,1973,R D Barman,Solo,Male ,Kishor Kumar 
142,Dekhta Hoon Koi Ladki Haseen,Sanam Teri Kasam,1982,R D Barman,Solo,Male,Kishor Kumar 
143,Des Chhudaye Bhes Chhudaye,Chacha Zindabad,1959,Madan Mohan,Solo,Male,Kishor Kumar 
144,Deva Ho Deva,Ilaaka,1989,Nadim Shravan,Duet,Male& Female,Kishor Kumar&Asha Bhosale
145,Devi O Baby Tu Banja,Maqsad,1984,Kalyanji Anandji,Solo,Male,Kishor Kumar 
146,Devta Mana Aur Pooja,Albela,1971,Shankar Jaikishan,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
147,Dhal Gayi Rang Mein Teri,Hiralal Pannalal,1978,R D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale
148,Dheere Dheere Naach,Bhola Bhala,1978,R D Barman,Solo,Male,Kishor Kumar 
149,Dhoondha Tujhe Lakhon Me,Putalibai,1971,Jai Kumar,Solo,Male,Kishor Kumar 
150,Dhoop Mein Nikla Na Karo,Giraftar,1985,Bappi Lahiri,Duet,Male& Female,Kishor Kumar&Asha Bhosale
151,Dil Se Mile Dil,Dil Se Mile Dil,1978,Bappi Lahiri,Solo,Male,Kishor Kumar
152,Dil Tera Hai Main Bhi Teri Hoon,Bombay To Goa,1972,R D Burman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
153,Dilbar Mere Kab Tak Muze,Satte Pe Satta,1982,R D Burman,Duet,Male& Female,Kishor Kumar& Annette Pinto
154,Dillagi Ne Di Hawa,Dostana,1980,laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar&Asha Bhosale
155,Dilwale Aaye Hai,Fifty Fifty,1981,laxmikant Pyarelal,Solo,Male,Kishor Kumar
156,Din Jawani Ke Char Yar,Pyar Kiya Ja,1966,laxmikant Pyarelal,Solo,Male,Kishor Kumar
157,Din Mahine Sal,Avtaar,1983,lakshmikant Pyarelal,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
158,Disco 82,Khuddar,1982,Rajesh Roshan,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
159,Diwana Main Hoon Tera,Ruksat,1988,Kalyanji Aanandji,Solo,Male,Kishor Kumar
160,Diye Jalte Hai,Namak Haram,1973,R D Burman,Solo,Male,Kishor Kumar
161,Do Panchhi  Do Tinke,Tapasya,1975,Ravindra Jain,Duet,Male& Female,Kishor Kumar& Aarti Mukharji
162,Duriyaa Nazdikiyan ban Gayi,Duriya,1968,Shankar Jaykishan,Duet,Male& Female,Kishor Kumar&Asha Bhosale
163,Dosaton Ko Salam,Rocky,1981,R D Burman,Solo,Male,Kishor Kumar
164,Dream Girl,Dream Girl,1977,laxmikant Pyarelal,Solo,Male,Kishor Kumar
165,Dukhi Man Mere,Funtoosh,1956,S D Burman,Solo,Male,Kishor Kumar
166,Dukki Pe Dukki Ho,Satte Pe Satta,1972,R D Burman,Duet,Male& Female,Kishor Kumar&Asha Bhosale& R D Burman
167,Do Baate Pyar Bhari Kar Loon,Aankhon Aankhon Mein ,1982,Shankar Jaykishan,Duet,Male& Female,Kishor Kumar&Asha Bhosale
168,Dulha Dulhan Ki Jodi,Nastik,1983,Kalyanji Aanandji,Solo,Male,Kishor Kumar
169,Duniya Bahut Hi Kamal hai,Duniya ,1984,R D Burman,Solo,Male,Kishor Kumar
170,Dum Tumhari Dum,Zaharila Insaan,1974,R D Burman,Solo,Male,Kishor Kumar
171,Duniya Dushman,Dilwala,1986,Bappi Lahiri,Solo,Male,Kishor Kumar
172,Duniya Faani Baheta Paani,Chalaak,1972,Ganesh,Duet,Male& Female,Kishor Kumar&Asha Bhosale
173,Duniya Muzase Kahati hai,Kahani Kismat Ki,1973,Kalyanji Aanandji,Solo,Male,Kishor Kumar
174,Duniyane Muze Tadapaya,Vishawanath,1978,Rajesh Roshan,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
175,Duniya O Duniya Tera,Naya Jamana,1971,S D Burman,Solo,Male,Kishor Kumar
176,Ee Hai bambai Nagariya,Don,1978,Kalyanji Aanandji,Solo,Male,Kishor Kumar
177,Eena Meena Dika,Aasha,1957,C Ramchandra,Solo,Male,Kishor Kumar
178,Ek Aankh Maru Toh,Tohafa,1984,Bappi Lahiri,Duet,Male& Female,Kishor Kumar&Asha Bhosale
179,Ek Ajanabee Hasina Se ,Ajanabee,1974,R D Burman,Solo,Male,Kishor Kumar
180,Ek Baar Muskura do,Ek Baar Muskura do,1972,O P Nayyar,Duet,Male& Female,Kishor Kumar&Asha Bhosale
181,Ek Chatur Naar Karake Singar,Padosan,1968,R D Burman,Duet,Male,Kishor Kumar&Manna Dey& Mahamood
182,Ek Chhokariya,Heera,1973,Kalyanji Aanandji,Duet,Male& Female,Kishor Kumar& Ashabhosale& Mulkri&usha Khanna
183,Ek Dhoondho Milte Hai Hajaron,Pyara Dushman,1980,Bappi Lahiri,Duet,Male& Female,Kishor Kumar&Asha Bhosale
184,Ek Din Bik Jayega,Dharam Karam,1975,R D Burman,Duet,Male& Female,Kishor Kumar&Mukesh& Sushma Shresthi& Poornima
185,Ek Din Sapaneme Dekha Sapanaa,Golmal,1979,R D Burman,Duet,Male,Kishor Kumar&Amit Kumar
186,Ek Ek Do Do,Mavali,1983,Bappi Lahiri,Duet,Male& Female,Kishor Kumar&Asha Bhosale
187,Ek Ek Ho Jaye Phir Ghar Chale jana,Ganga Jamana Saraswati,1988,Annu Malik,Duet,Male,Kishor Kumar& Pankaj Udhas
188,Ek haseena Thi,Karj,1980,laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar&Asha Bhosale& Rishi Kapur
189,Ek Ladki Bhigi Bhagi si,Chalti Ka Nam gadi,1958,S D Burman,Solo,Male,Kishor Kumar
190,Ek Main Aur Ek Tu,Khe khel Mein,1975,R D Burman,Duet,Male& Female,Kishor Kumar&Asha Bhosale
191,Ek Mutthi Aasaman,Ek Mutthi Aasaman,1973,Madan Mohan,Solo,Male,Kishor Kumar
192,Ek Nahin Do Nahin,Biwi O Biwi,1981,R D Burman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
193,Pyar ko Chahiye kya Ek najar,Ek Najar,1972,S D Burman,Solo,Male,Kishor Kumar
194,Ek Paheli Hai Tu,Heera Panna,1973,R D Burman,Duet,Male& Female,Kishor Kumar&Asha Bhosale
195,Ek  Rasta Do Rahi,Ram Balram,1980,laxmikant Pyarelal,Duet,Male,Kishor Kumar& Mahammad Rafi
196,Ek Rutu Aaye Ek Rutu Jaye,Gautam Govinda,1979,laxmikant Pyarelal,Solo,Male,Kishor Kumar
197,Ek Roj main Tadapkar,Bemisal,1982,R D Burman,Solo,Male,Kishor Kumar
198,Ek Sawal hai,Bhut Bungala,1965,R D Burman,Solo,Male,Kishor Kumar
199,Ga Ga Ga Gayeja,Professor Pyarelal,1981,Kalyanji Aanandji,Solo,Male,Kishor Kumar
200,Gadi Bula Rahi Hai,Dost ,1974,laxmikant Pyarelal,Solo,Male,Kishor Kumar
201,Gata Rahe Mera dil,Guide,1965,S D Burman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar
202,Gali gali shor,Aar Par,1985,R D Burman,Solo,Male,Kishor Kumar
203,Galiyon Galiyon,Swami Dada,1982,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
204,Gana Na Aaya,Miss Mary,1957,Hemant Kumar,Solo,Male,Kishor Kumar
205,Ganga Ghat ka Pani Piya Hai,Ponga Pandit,1975,laxmikant Pyarelal,Solo,Male,Kishor Kumar
206,Gao Senorita Geet Pyar Ke,Nikamma,1983,R D Burman,Duet,Male&Female,Kishor Kumar& Asha Bhosale& Mahahmad Rafi
207,Gaon Galiyon Fulo Kaliyon,Bezubaan,1982,Ramlaxaman,Duet,Male&Female,Kishor Kumar& Asha Bhosale 
208,Gaon Mein Mach Gaya Shor,Dakait,1987,R D Burman,Duet,Male&Female,Kishor Kumar& Asha Bhosale & Suresh Wadkar
209,Gayi Kam Se Gayi ye Ladki,Anjane Mein,1978,Kalyanji Aanandji,Solo,Male,Kishor Kumar
210,Ge Ge Geli Zara Timbaktu Kathamandu,Jhomroo,1961,Kishor Kumar,Solo,Male,Kishor Kumar
211,Geet Gata Hoon Main,Lal Patthar,1971,Shankar Jaykishan,Solo,Male,Kishor Kumar
212,Ghere Halke Halke Ghere,Duniya ,1984,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
213,Gham Ka Phasana,Manchali,1973,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar &Leena Chandavarkar
214,Gharse Chali Thi Main,Ghazab,1982,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
215,Ghungaroo ki Tarah Bajata Hi Raha ,Chor Machaye Shor,1974,Ravindra Jain,Solo,Male,Kishor Kumar
216,Gir Gaya Zumka Girne Do,Jugnu,1973,S D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
217,Gokul Ki Galiyonka Gwala,Raste Pyar Ke,1982,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Asha Bhosale & Usha Mangeshkar
218,Goli Andar Dam Bahar,Pyar Mohabbat,1988,laxmikant Pyarelal,Duet,Male,Kishor Kumar&Laxmikant&Mahamad Ali Mahamood
219,Goom Hai Kisike Pyar mein,Rampur Ka Lakshman,1972,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
220,Hum The Who Thi,Chalti Ka Naam Gaadi ,1958,S D Burman,Solo,Male,Kishor Kumar
221,Gore Rang Pe Na Itana,Roti,1974,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
222,Gori Gori Gaon Ki Gori Re,Ye Gulistan Hamara,1972,S D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
223,Gori Ho Kali Ho,Biwi O Biwi,1981,R D Burman,Solo,Male,Kishor Kumar
224,Gori Tere Ang Ang Mein,Tohafa,1984,Bappi Lahiri,Duet,Male&Female,Kishor Kumar& Asha Bhosale 
225,Gori Teri Javani Pe,Kalakar,1983,Kalyanji Aanandji,Solo,Male,Kishor Kumar
226,Goriya Hamen Jeena Teri Gali Mein,Pyara Dushman,1980,Bappi Lahiri,Duet,Male&Female,Kishor Kumar& Asha Bhosale 
227,Gulmoharr Gar Tumhara Nam Hota,Devata,1978,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar
